Start! 


==== Momory at label ==== 
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1145: size=70.0 KiB, count=586, average=122 B
<frozen importlib._bootstrap>:241: size=60.8 KiB, count=482, average=129 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1156: size=51.0 KiB, count=301, average=173 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3581: size=40.2 KiB, count=18, average=2287 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2660: size=38.4 KiB, count=23, average=1712 B
/usr/lib/python3.10/tracemalloc.py:558: size=33.4 KiB, count=697, average=49 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2666: size=30.2 KiB, count=14, average=2208 B
/usr/lib/python3.10/sre_compile.py:804: size=24.8 KiB, count=43, average=591 B
/usr/lib/python3.10/typing.py:309: size=19.1 KiB, count=8, average=2444 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:4022: size=18.7 KiB, count=10, average=1911 B
/usr/lib/python3.10/threading.py:258: size=18.0 KiB, count=62, average=298 B

==== Momory at label ==== 
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:314: size=93.5 MiB, count=779, average=123 KiB
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:301: size=8205 KiB, count=139, average=59.0 KiB
<frozen importlib._bootstrap_external>:672: size=5869 KiB, count=7176, average=838 B
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:93: size=1200 KiB, count=5, average=240 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:89: size=1200 KiB, count=3, average=400 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/npu.py:268: size=1200 KiB, count=3, average=400 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:56: size=900 KiB, count=4, average=225 KiB
/usr/lib/python3.10/linecache.py:137: size=507 KiB, count=5034, average=103 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3349: size=141 KiB, count=39, average=3705 B
/usr/lib/python3.10/tracemalloc.py:67: size=125 KiB, count=1997, average=64 B
/usr/lib/python3.10/tracemalloc.py:505: size=111 KiB, count=2029, average=56 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3439: size=102 KiB, count=35, average=2999 B
/usr/lib/python3.10/tracemalloc.py:498: size=95.5 KiB, count=2029, average=48 B
/usr/lib/python3.10/copy.py:280: size=83.4 KiB, count=385, average=222 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1145: size=70.0 KiB, count=586, average=122 B
<frozen importlib._bootstrap>:241: size=60.8 KiB, count=482, average=129 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1156: size=51.0 KiB, count=301, average=173 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3581: size=40.2 KiB, count=18, average=2287 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2660: size=38.4 KiB, count=23, average=1712 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2666: size=30.2 KiB, count=14, average=2208 B
/usr/lib/python3.10/sre_compile.py:804: size=24.8 KiB, count=43, average=591 B
/usr/lib/python3.10/typing.py:309: size=19.1 KiB, count=8, average=2444 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:4022: size=18.7 KiB, count=10, average=1911 B
/usr/lib/python3.10/threading.py:258: size=18.0 KiB, count=62, average=298 B
/usr/lib/python3.10/tracemalloc.py:193: size=18.0 KiB, count=383, average=48 B

==== Momory at label ==== 
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:314: size=101 MiB, count=795, average=129 KiB
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:301: size=8205 KiB, count=139, average=59.0 KiB
<frozen importlib._bootstrap_external>:672: size=5869 KiB, count=7176, average=838 B
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:93: size=1200 KiB, count=5, average=240 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/npu.py:268: size=1200 KiB, count=3, average=400 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:89: size=1200 KiB, count=2, average=600 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:56: size=900 KiB, count=4, average=225 KiB
/usr/lib/python3.10/linecache.py:137: size=507 KiB, count=5034, average=103 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3349: size=141 KiB, count=39, average=3705 B
/usr/lib/python3.10/tracemalloc.py:67: size=125 KiB, count=1997, average=64 B
/usr/lib/python3.10/tracemalloc.py:505: size=111 KiB, count=2026, average=56 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3439: size=102 KiB, count=35, average=2999 B
/usr/lib/python3.10/tracemalloc.py:498: size=95.3 KiB, count=2026, average=48 B
/usr/lib/python3.10/copy.py:280: size=83.4 KiB, count=385, average=222 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1145: size=70.0 KiB, count=586, average=122 B
<frozen importlib._bootstrap>:241: size=60.8 KiB, count=482, average=129 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1156: size=51.0 KiB, count=301, average=173 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3581: size=40.2 KiB, count=18, average=2287 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2660: size=38.4 KiB, count=23, average=1712 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2666: size=30.2 KiB, count=14, average=2208 B
/usr/lib/python3.10/sre_compile.py:804: size=24.8 KiB, count=43, average=591 B
/usr/lib/python3.10/typing.py:309: size=19.1 KiB, count=8, average=2444 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:4022: size=18.7 KiB, count=10, average=1911 B
/usr/lib/python3.10/threading.py:258: size=18.0 KiB, count=62, average=298 B
/usr/lib/python3.10/tracemalloc.py:193: size=16.8 KiB, count=358, average=48 B

==== Momory at label ==== 
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:314: size=93.5 MiB, count=791, average=121 KiB
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:301: size=8205 KiB, count=139, average=59.0 KiB
<frozen importlib._bootstrap_external>:672: size=5869 KiB, count=7176, average=838 B
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:93: size=1200 KiB, count=6, average=200 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/npu.py:268: size=1200 KiB, count=3, average=400 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:89: size=1200 KiB, count=2, average=600 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:56: size=900 KiB, count=2, average=450 KiB
/usr/lib/python3.10/linecache.py:137: size=507 KiB, count=5034, average=103 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3349: size=141 KiB, count=39, average=3705 B
/usr/lib/python3.10/tracemalloc.py:67: size=125 KiB, count=1997, average=64 B
/usr/lib/python3.10/tracemalloc.py:505: size=111 KiB, count=2032, average=56 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3439: size=102 KiB, count=35, average=2999 B
/usr/lib/python3.10/tracemalloc.py:498: size=95.7 KiB, count=2033, average=48 B
/usr/lib/python3.10/copy.py:280: size=83.4 KiB, count=385, average=222 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1145: size=70.0 KiB, count=586, average=122 B
<frozen importlib._bootstrap>:241: size=60.8 KiB, count=482, average=129 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1156: size=51.0 KiB, count=301, average=173 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3581: size=40.2 KiB, count=18, average=2287 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2660: size=38.4 KiB, count=23, average=1712 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2666: size=30.2 KiB, count=14, average=2208 B
/usr/lib/python3.10/sre_compile.py:804: size=24.8 KiB, count=43, average=591 B
/usr/lib/python3.10/typing.py:309: size=19.1 KiB, count=8, average=2444 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:4022: size=18.7 KiB, count=10, average=1911 B
/usr/lib/python3.10/tracemalloc.py:558: size=18.3 KiB, count=381, average=49 B
/usr/lib/python3.10/threading.py:258: size=18.0 KiB, count=62, average=298 B

==== Momory at label ==== 
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:314: size=148 MiB, count=994, average=153 KiB
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:301: size=8205 KiB, count=139, average=59.0 KiB
<frozen importlib._bootstrap_external>:672: size=5869 KiB, count=7176, average=838 B
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:89: size=2400 KiB, count=8, average=300 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:93: size=1200 KiB, count=5, average=240 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:56: size=900 KiB, count=3, average=300 KiB
/usr/lib/python3.10/linecache.py:137: size=507 KiB, count=5034, average=103 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3349: size=141 KiB, count=39, average=3705 B
/usr/lib/python3.10/tracemalloc.py:67: size=125 KiB, count=1996, average=64 B
/usr/lib/python3.10/tracemalloc.py:505: size=111 KiB, count=2032, average=56 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3439: size=102 KiB, count=35, average=2999 B
/usr/lib/python3.10/tracemalloc.py:498: size=95.6 KiB, count=2032, average=48 B
/usr/lib/python3.10/copy.py:280: size=83.4 KiB, count=385, average=222 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1145: size=70.0 KiB, count=586, average=122 B
<frozen importlib._bootstrap>:241: size=60.8 KiB, count=482, average=129 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1156: size=51.0 KiB, count=301, average=173 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3581: size=40.2 KiB, count=18, average=2287 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2660: size=38.4 KiB, count=23, average=1712 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2666: size=30.2 KiB, count=14, average=2208 B
/usr/lib/python3.10/sre_compile.py:804: size=24.8 KiB, count=43, average=591 B
/usr/lib/python3.10/tracemalloc.py:193: size=24.0 KiB, count=512, average=48 B
/usr/lib/python3.10/typing.py:309: size=19.1 KiB, count=8, average=2444 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:4022: size=18.7 KiB, count=10, average=1911 B
/usr/lib/python3.10/threading.py:258: size=18.0 KiB, count=62, average=298 B
/usr/lib/python3.10/tracemalloc.py:534: size=15.9 KiB, count=2, average=8156 B

==== Momory at label ==== 
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:314: size=103 MiB, count=842, average=125 KiB
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:301: size=8205 KiB, count=139, average=59.0 KiB
<frozen importlib._bootstrap_external>:672: size=5869 KiB, count=7176, average=838 B
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:93: size=2400 KiB, count=7, average=343 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/npu.py:268: size=1200 KiB, count=2, average=600 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:89: size=1200 KiB, count=2, average=600 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:56: size=900 KiB, count=3, average=300 KiB
/usr/lib/python3.10/linecache.py:137: size=507 KiB, count=5034, average=103 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3349: size=141 KiB, count=39, average=3705 B
/usr/lib/python3.10/tracemalloc.py:67: size=125 KiB, count=1997, average=64 B
/usr/lib/python3.10/tracemalloc.py:505: size=112 KiB, count=2041, average=56 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3439: size=102 KiB, count=35, average=2999 B
/usr/lib/python3.10/tracemalloc.py:498: size=96.0 KiB, count=2041, average=48 B
/usr/lib/python3.10/copy.py:280: size=83.4 KiB, count=385, average=222 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1145: size=70.0 KiB, count=586, average=122 B
<frozen importlib._bootstrap>:241: size=60.8 KiB, count=482, average=129 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1156: size=51.0 KiB, count=301, average=173 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3581: size=40.2 KiB, count=18, average=2287 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2660: size=38.4 KiB, count=23, average=1712 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2666: size=30.2 KiB, count=14, average=2208 B
/usr/lib/python3.10/sre_compile.py:804: size=24.8 KiB, count=43, average=591 B
/usr/lib/python3.10/tracemalloc.py:193: size=23.8 KiB, count=507, average=48 B
/usr/lib/python3.10/typing.py:309: size=19.1 KiB, count=8, average=2444 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:4022: size=18.7 KiB, count=10, average=1911 B
/usr/lib/python3.10/threading.py:258: size=18.0 KiB, count=62, average=298 B

==== Momory at label ==== 
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:314: size=84.2 MiB, count=786, average=110 KiB
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:301: size=8205 KiB, count=139, average=59.0 KiB
<frozen importlib._bootstrap_external>:672: size=5869 KiB, count=7176, average=838 B
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:93: size=1200 KiB, count=5, average=240 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/npu.py:268: size=1200 KiB, count=2, average=600 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:89: size=1200 KiB, count=2, average=600 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:56: size=900 KiB, count=3, average=300 KiB
/usr/lib/python3.10/linecache.py:137: size=507 KiB, count=5034, average=103 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3349: size=141 KiB, count=39, average=3705 B
/usr/lib/python3.10/tracemalloc.py:67: size=125 KiB, count=1996, average=64 B
/usr/lib/python3.10/tracemalloc.py:505: size=112 KiB, count=2035, average=56 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3439: size=102 KiB, count=35, average=2999 B
/usr/lib/python3.10/tracemalloc.py:498: size=95.8 KiB, count=2035, average=48 B
/usr/lib/python3.10/copy.py:280: size=83.4 KiB, count=385, average=222 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1145: size=70.0 KiB, count=586, average=122 B
<frozen importlib._bootstrap>:241: size=60.8 KiB, count=482, average=129 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1156: size=51.0 KiB, count=301, average=173 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3581: size=40.2 KiB, count=18, average=2287 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2660: size=38.4 KiB, count=23, average=1712 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2666: size=30.2 KiB, count=14, average=2208 B
/usr/lib/python3.10/sre_compile.py:804: size=24.8 KiB, count=43, average=591 B
/usr/lib/python3.10/tracemalloc.py:558: size=23.9 KiB, count=500, average=49 B
/usr/lib/python3.10/typing.py:309: size=19.1 KiB, count=8, average=2444 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:4022: size=18.7 KiB, count=10, average=1911 B
/usr/lib/python3.10/threading.py:258: size=18.0 KiB, count=62, average=298 B

==== Momory at label ==== 
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:314: size=102 MiB, count=807, average=129 KiB
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/rknn/api/rknn.py:301: size=8205 KiB, count=139, average=59.0 KiB
<frozen importlib._bootstrap_external>:672: size=5869 KiB, count=7176, average=838 B
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:93: size=1200 KiB, count=5, average=240 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:89: size=1200 KiB, count=2, average=600 KiB
/home/orangepi/Projects/npu_dSort/npu_dSort/cam.py:56: size=900 KiB, count=3, average=300 KiB
/usr/lib/python3.10/linecache.py:137: size=507 KiB, count=5034, average=103 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3349: size=141 KiB, count=39, average=3705 B
/usr/lib/python3.10/tracemalloc.py:67: size=125 KiB, count=1997, average=64 B
/usr/lib/python3.10/tracemalloc.py:505: size=112 KiB, count=2033, average=56 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3439: size=102 KiB, count=35, average=2999 B
/usr/lib/python3.10/tracemalloc.py:498: size=95.7 KiB, count=2033, average=48 B
/usr/lib/python3.10/copy.py:280: size=83.4 KiB, count=385, average=222 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1145: size=70.0 KiB, count=586, average=122 B
<frozen importlib._bootstrap>:241: size=60.8 KiB, count=481, average=129 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:1156: size=51.0 KiB, count=301, average=173 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:3581: size=40.2 KiB, count=18, average=2287 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2660: size=38.4 KiB, count=23, average=1712 B
/home/orangepi/Projects/npu_dSort/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing.py:2666: size=30.2 KiB, count=14, average=2208 B
